"NTA code, 2020",NTA ,"Number of people in state prison from each NTA, 2020","Census population, 2020","Total population, 2020","Imprisonment rate per 100,000"
BK0101,Greenpoint,22,"38,980","39,002",56
BK0102,Williamsburg,69,"64,444","64,513",107
BK0103,South Williamsburg,19,"47,703","47,722",40
BK0104,East Williamsburg,135,"52,998","53,133",254
BK0201,Brooklyn Heights,8,"25,092","25,100",32
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,61,"40,968","41,029",149
BK0203,Fort Greene,82,"32,938","33,020",248
BK0204,Clinton Hill,34,"28,647","28,681",119
BK0301,Bedford-Stuyvesant (West),333,"89,189","89,522",372
BK0302,Bedford-Stuyvesant (East),433,"84,653","85,086",509
BK0401,Bushwick (West),98,"58,692","58,790",167
BK0402,Bushwick (East),236,"62,055","62,291",379
BK0501,Cypress Hills,103,"43,263","43,366",238
BK0502,East New York (North),214,"42,818","43,032",497
BK0503,East New York-New Lots,224,"53,004","53,228",421
BK0504,Spring Creek-Starrett City,30,"17,038","17,068",176
BK0505,East New York-City Line,174,"45,559","45,733",380
BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,104,"59,166","59,270",175
BK0602,Park Slope,30,"57,405","57,435",52
BK0701,Windsor Terrace-South Slope,10,"23,622","23,632",42
BK0702,Sunset Park (West),68,"54,473","51,979",131
BK0703,Sunset Park (Central),60,"55,611","55,671",108
BK0801,Prospect Heights,34,"23,515","23,549",144
BK0802,Crown Heights (North),380,"85,275","85,655",444
BK0901,Crown Heights (South),138,"50,605","50,743",272
BK0902,Prospect Lefferts Gardens-Wingate,125,"49,513","49,638",252
BK1001,Bay Ridge,38,"86,866","86,904",44
BK1002,Dyker Heights,25,"46,756","46,781",53
BK1101,Bensonhurst,47,"104,934","104,981",45
BK1102,Bath Beach,24,"33,079","33,103",73
BK1103,Gravesend (West),36,"60,523","60,559",59
BK1201,Sunset Park (East)-Borough Park (West),13,"35,632","35,645",36
BK1202,Borough Park,27,"93,905","93,932",29
BK1203,Kensington,23,"41,758","41,781",55
BK1204,Mapleton-Midwood (West),11,"39,137","39,148",28
BK1301,Gravesend (South),42,"30,366","30,408",138
BK1302,Coney Island-Sea Gate,161,"49,517","49,678",324
BK1303,Brighton Beach,15,"33,568","33,583",45
BK1401,Flatbush,196,"66,503","66,699",294
BK1402,Flatbush (West)-Ditmas Park-Parkville,59,"43,016","43,075",137
BK1403,Midwood,20,"52,891","52,911",38
BK1501,Gravesend (East)-Homecrest,24,"52,797","52,821",45
BK1502,Madison,17,"41,466","41,483",41
BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,76,"69,084","69,160",110
BK1601,Ocean Hill,173,"37,952","38,125",454
BK1602,Brownsville,440,"60,470","60,910",722
BK1701,East Flatbush-Erasmus,157,"47,690","47,847",328
BK1702,East Flatbush-Farragut,70,"34,317","34,387",204
BK1703,East Flatbush-Rugby,84,"42,794","42,878",196
BK1704,East Flatbush-Remsen Village,122,"39,115","39,237",311
BK1801,Flatlands,112,"67,087","67,199",167
BK1802,Marine Park-Mill Basin-Bergen Beach,28,"46,959","46,987",60
BK1803,Canarsie,210,"89,937","90,147",233
BX0101,Mott Haven-Port Morris,253,"57,718","57,971",436
BX0102,Melrose,148,"42,651","42,799",346
BX0201,Hunts Point,54,"15,131","15,185",356
BX0202,Longwood,121,"40,289","40,410",299
BX0301,Morrisania,155,"37,607","37,762",410
BX0302,Claremont Village-Claremont (East),116,"24,553","24,669",470
BX0303,Crotona Park East,99,"30,158","30,257",327
BX0401,Concourse-Concourse Village,211,"69,393","69,604",303
BX0402,Highbridge,120,"32,475","32,595",368
BX0403,Mount Eden-Claremont (West),166,"49,661","49,827",333
BX0501,University Heights (South)-Morris Heights,236,"54,682","54,918",430
BX0502,Mount Hope,172,"49,099","49,271",349
BX0503,Fordham Heights,124,"32,099","32,223",385
BX0601,West Farms,66,"20,158","20,224",326
BX0602,Tremont,125,"32,184","32,309",387
BX0603,Belmont,127,"35,830","35,957",353
BX0701,University Heights (North)-Fordham,119,"46,538","46,657",255
BX0702,Bedford Park,119,"55,521","55,640",214
BX0703,Norwood,92,"43,468","43,560",211
BX0801,Kingsbridge Heights-Van Cortlandt Village,65,"35,777","35,842",181
BX0802,Kingsbridge-Marble Hill,37,"22,807","22,844",162
